week,place,avg_price
2025-12-29,Charlotte Pass,2682.0
2025-12-29,Mt Baw Baw,1442.388888888889
2025-12-29,Mt Buller,3317.8571428571427
2025-12-29,Perisher,971.96
2025-12-29,Thredbo,2355.36
2026-01-05,Charlotte Pass,3135.0
2026-01-05,Mt Baw Baw,1465.391304347826
2026-01-05,Mt Buller,2828.72
2026-01-05,Perisher,961.72
2026-01-05,Thredbo,1993.48
2026-01-12,Charlotte Pass,2582.0
2026-01-12,Mt Baw Baw,1540.3181818181818
2026-01-12,Mt Buller,1978.92
2026-01-12,Perisher,948.04
2026-01-12,Thredbo,2439.76
2026-01-19,Charlotte Pass,2582.0
2026-01-19,Mt Baw Baw,1467.8
2026-01-19,Mt Buller,1972.32
2026-01-19,Perisher,996.64
2026-01-19,Thredbo,2097.68
2026-01-26,Charlotte Pass,2385.0
2026-01-26,Mt Baw Baw,1321.52
2026-01-26,Mt Buller,1536.6
2026-01-26,Perisher,955.64
2026-01-26,Thredbo,1904.08
2026-02-02,Charlotte Pass,2432.0
2026-02-02,Mt Baw Baw,1307.2
2026-02-02,Mt Buller,1936.44
2026-02-02,Perisher,990.4
2026-02-02,Thredbo,1951.92
2026-02-09,Charlotte Pass,2491.5
2026-02-09,Mt Baw Baw,1188.8
2026-02-09,Mt Buller,1898.24
2026-02-09,Perisher,952.48
2026-02-09,Thredbo,2011.04
2026-02-16,Charlotte Pass,3135.0
2026-02-16,Mt Baw Baw,1175.8
2026-02-16,Mt Buller,1878.08
2026-02-16,Perisher,986.4
2026-02-16,Thredbo,1839.68
2026-02-23,Charlotte Pass,2346.5
2026-02-23,Mt Baw Baw,1069.76
2026-02-23,Mt Buller,1877.52
2026-02-23,Perisher,959.2
2026-02-23,Thredbo,1936.36
2026-03-02,Charlotte Pass,2491.5
2026-03-02,Mt Baw Baw,1209.96
2026-03-02,Mt Buller,1888.24
2026-03-02,Perisher,1014.04
2026-03-02,Thredbo,1945.32
2026-03-09,Charlotte Pass,2195.0
2026-03-09,Mt Baw Baw,1179.28
2026-03-09,Mt Buller,1851.52
2026-03-09,Perisher,998.0
2026-03-09,Thredbo,2078.24
2026-03-16,Charlotte Pass,2491.5
2026-03-16,Mt Baw Baw,1098.2
2026-03-16,Mt Buller,1829.92
2026-03-16,Perisher,984.24
2026-03-16,Thredbo,1803.44
2026-03-23,Charlotte Pass,2195.0
2026-03-23,Mt Baw Baw,1174.6
2026-03-23,Mt Buller,1870.08
2026-03-23,Perisher,1025.2
2026-03-23,Thredbo,1953.04
2026-03-30,Mt Baw Baw,1280.8260869565217
2026-03-30,Mt Buller,2085.2
2026-03-30,Perisher,1006.52
2026-03-30,Thredbo,2439.44
2026-04-06,Charlotte Pass,2850.6666666666665
2026-04-06,Mt Baw Baw,1207.84
2026-04-06,Mt Buller,1897.72
2026-04-06,Perisher,1031.52
2026-04-06,Thredbo,2034.64
2026-04-13,Charlotte Pass,2650.3333333333335
2026-04-13,Mt Baw Baw,1229.88
2026-04-13,Mt Buller,2142.76
2026-04-13,Perisher,1024.24
2026-04-13,Thredbo,2002.8
2026-04-20,Charlotte Pass,2294.6666666666665
2026-04-20,Mt Baw Baw,1204.92
2026-04-20,Mt Buller,2065.28
2026-04-20,Perisher,1055.04
2026-04-20,Thredbo,1883.76
2026-04-27,Charlotte Pass,2536.0
2026-04-27,Mt Baw Baw,1154.12
2026-04-27,Mt Buller,2040.16
2026-04-27,Perisher,1031.36
2026-04-27,Thredbo,2675.92
2026-05-04,Charlotte Pass,3135.0
2026-05-04,Mt Baw Baw,1156.4
2026-05-04,Mt Buller,1745.44
2026-05-04,Perisher,1011.84
2026-05-04,Thredbo,1745.92
2026-05-11,Charlotte Pass,2329.5
2026-05-11,Mt Baw Baw,1098.56
2026-05-11,Mt Buller,1677.72
2026-05-11,Perisher,1025.96
2026-05-11,Thredbo,1731.0
2026-05-18,Charlotte Pass,2415.0
2026-05-18,Mt Baw Baw,1117.48
2026-05-18,Mt Buller,1767.12
2026-05-18,Perisher,965.84
2026-05-18,Thredbo,1746.6
2026-05-25,Charlotte Pass,2407.0
2026-05-25,Mt Baw Baw,1099.96
2026-05-25,Mt Buller,1907.4
2026-05-25,Perisher,1017.16
2026-05-25,Thredbo,1890.36
2026-06-01,Charlotte Pass,2503.0
2026-06-01,Mt Baw Baw,1160.8695652173913
2026-06-01,Mt Buller,1923.12
2026-06-01,Perisher,1020.36
2026-06-01,Thredbo,2812.44
2026-06-08,Charlotte Pass,2334.0
2026-06-08,Mt Baw Baw,1151.32
2026-06-08,Mt Buller,1746.4
2026-06-08,Perisher,1008.52
2026-06-08,Thredbo,2949.16
2026-06-15,Charlotte Pass,2378.3333333333335
2026-06-15,Mt Baw Baw,1114.56
2026-06-15,Mt Buller,1729.16
2026-06-15,Perisher,959.16
2026-06-15,Thredbo,3389.76
2026-06-22,Charlotte Pass,2334.0
2026-06-22,Mt Baw Baw,1078.76
2026-06-22,Mt Buller,1776.32
2026-06-22,Perisher,1014.36
2026-06-22,Thredbo,6980.28
2026-06-29,Charlotte Pass,1933.5
2026-06-29,Mt Baw Baw,1163.608695652174
2026-06-29,Mt Buller,1819.36
2026-06-29,Perisher,1037.44
2026-06-29,Thredbo,9798.52
2026-07-06,Charlotte Pass,1933.5
2026-07-06,Mt Baw Baw,1162.9565217391305
2026-07-06,Mt Buller,2171.52
2026-07-06,Perisher,1019.24
2026-07-06,Thredbo,9073.84
2026-07-13,Charlotte Pass,1933.5
2026-07-13,Mt Baw Baw,1163.608695652174
2026-07-13,Mt Buller,2000.04
2026-07-13,Perisher,1039.76
2026-07-13,Thredbo,8717.64
2026-07-20,Charlotte Pass,1933.5
2026-07-20,Mt Baw Baw,1170.1904761904761
2026-07-20,Mt Buller,1649.96
2026-07-20,Perisher,1012.64
2026-07-20,Thredbo,9611.8
2026-07-27,Charlotte Pass,1933.5
2026-07-27,Mt Baw Baw,1328.3809523809523
2026-07-27,Mt Buller,1251.36
2026-07-27,Perisher,1016.64
2026-07-27,Thredbo,8877.32
2026-08-03,Charlotte Pass,1933.5
2026-08-03,Mt Baw Baw,1399.1904761904761
2026-08-03,Mt Buller,1257.6
2026-08-03,Perisher,1006.92
2026-08-03,Thredbo,8293.28
2026-08-10,Charlotte Pass,1933.5
2026-08-10,Mt Baw Baw,1399.1904761904761
2026-08-10,Mt Buller,1228.08
2026-08-10,Perisher,1033.2
2026-08-10,Thredbo,9125.88
2026-08-17,Charlotte Pass,1941.5
2026-08-17,Mt Baw Baw,1399.1904761904761
2026-08-17,Mt Buller,1247.52
2026-08-17,Perisher,996.4
2026-08-17,Thredbo,7581.72
2026-08-24,Mt Baw Baw,1088.3333333333333
2026-08-24,Mt Buller,2812.529411764706
2026-08-24,Perisher,1035.0434782608695
2026-08-24,Thredbo,6702.166666666667
2026-08-31,Mt Baw Baw,1075.4285714285713
2026-08-31,Mt Buller,1975.8823529411766
2026-08-31,Perisher,1037.0869565217392
2026-08-31,Thredbo,6348.631578947368
2026-09-07,Mt Baw Baw,1066.857142857143
2026-09-07,Mt Buller,1981.7058823529412
2026-09-07,Perisher,1037.0869565217392
2026-09-07,Thredbo,6221.1
2026-09-14,Mt Baw Baw,1075.4285714285713
2026-09-14,Mt Buller,2110.5
2026-09-14,Perisher,1020.12
2026-09-14,Thredbo,6182.0
2026-09-21,Mt Baw Baw,1066.857142857143
2026-09-21,Mt Buller,2208.764705882353
2026-09-21,Perisher,1038.625
2026-09-21,Thredbo,6423.235294117647
2026-09-28,Mt Baw Baw,1007.8
2026-09-28,Mt Buller,2259.5
2026-09-28,Perisher,1060.3684210526317
2026-09-28,Thredbo,7429.181818181818
2026-10-05,Mt Baw Baw,1007.8
2026-10-05,Mt Buller,2238.090909090909
2026-10-05,Perisher,1060.3684210526317
2026-10-05,Thredbo,6710.181818181818
2026-10-12,Mt Baw Baw,1007.8
2026-10-12,Mt Buller,2188.0833333333335
2026-10-12,Perisher,1060.3684210526317
2026-10-12,Thredbo,7695.5
2026-10-19,Mt Baw Baw,1007.8
2026-10-19,Mt Buller,2192.9166666666665
2026-10-19,Perisher,1060.3684210526317
2026-10-19,Thredbo,7193.9
2026-10-26,Mt Baw Baw,1011.7777777777778
2026-10-26,Mt Buller,2197.5833333333335
2026-10-26,Perisher,1060.3684210526317
2026-10-26,Thredbo,7777.111111111111
2026-11-02,Mt Baw Baw,1000.8
2026-11-02,Mt Buller,2236.5
2026-11-02,Perisher,1060.3684210526317
2026-11-02,Thredbo,6981.545454545455
2026-11-09,Mt Baw Baw,965.8
2026-11-09,Mt Buller,2201.3333333333335
2026-11-09,Perisher,1060.3684210526317
2026-11-09,Thredbo,6981.545454545455
2026-11-16,Mt Baw Baw,965.8
2026-11-16,Mt Buller,2197.75
2026-11-16,Perisher,1089.4705882352941
2026-11-16,Thredbo,6981.545454545455
2026-11-23,Mt Baw Baw,970.0
2026-11-23,Mt Buller,2210.9166666666665
2026-11-23,Perisher,1053.4375
2026-11-23,Thredbo,8165.222222222223
2026-11-30,Mt Baw Baw,970.0
2026-11-30,Mt Buller,2210.9166666666665
2026-11-30,Perisher,1028.0555555555557
2026-11-30,Thredbo,8171.0
2026-12-07,Mt Baw Baw,970.0
2026-12-07,Mt Buller,1791.5555555555557
2026-12-07,Perisher,1028.0555555555557
2026-12-07,Thredbo,8331.555555555555
2026-12-14,Mt Baw Baw,976.125
2026-12-14,Mt Buller,1773.0
2026-12-14,Perisher,1037.8333333333333
2026-12-14,Thredbo,8541.111111111111
2026-12-21,Mt Baw Baw,979.0
2026-12-21,Mt Buller,1801.75
2026-12-21,Perisher,1029.7222222222222
2026-12-21,Thredbo,9439.0
2026-12-28,Mt Baw Baw,978.25
2026-12-28,Mt Buller,1833.0
2026-12-28,Perisher,851.75
2026-12-28,Thredbo,9445.875
